Feature,Mean P Value,P Values
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",2.6057652677925143e-09,"[1.5199843322035753e-09, 6.056508098104785e-10, 1.3088570156873292e-09, 8.269168753376723e-09, 1.5199843322035753e-09, 4.2317831492751977e-10, 5.047646543357112e-10, 9.44917728074153e-09, 1.3242613223921592e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",2.399872858199785e-09,"[1.5199843322035753e-09, 5.470874312928451e-10, 1.3088570156873292e-09, 7.441830098712278e-09, 1.5199843322035753e-09, 3.835164900715479e-10, 4.5671805462521374e-10, 8.488088656129379e-09, 1.2000363088255634e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",2.821547469159374e-09,"[1.5199843322035753e-09, 5.470874312928451e-10, 1.3088570156873292e-09, 9.185663033875053e-09, 1.5199843322035753e-09, 4.668340787530142e-10, 5.577316697768161e-10, 1.051571789037533e-08, 1.460989045179658e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",1.5203613898587185e-06,"[5.72778413087093e-07, 4.0189903391653703e-07, 4.519773521917701e-07, 1.1996249969545626e-05, 1.0404391707838897e-07, 1.4894267856666157e-09, 7.512910279886999e-10, 1.4465683356729294e-08, 1.5917639162989113e-06, 6.819489529847489e-08]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",2.6057652677925143e-09,"[1.5199843322035753e-09, 6.056508098104785e-10, 1.3088570156873292e-09, 8.269168753376723e-09, 1.5199843322035753e-09, 4.2317831492751977e-10, 5.047646543357112e-10, 9.44917728074153e-09, 1.3242613223921592e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",2.399872858199785e-09,"[1.5199843322035753e-09, 5.470874312928451e-10, 1.3088570156873292e-09, 7.441830098712278e-09, 1.5199843322035753e-09, 3.835164900715479e-10, 4.5671805462521374e-10, 8.488088656129379e-09, 1.2000363088255634e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",2.5008855628746525e-09,"[1.5199843322035753e-09, 6.056508098104785e-10, 1.3088570156873292e-09, 8.269168753376723e-09, 1.5199843322035753e-09, 3.835164900715479e-10, 4.5671805462521374e-10, 8.488088656129379e-09, 1.3242613223921592e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",1.7616951806761973e-06,"[8.099802043909838e-07, 9.9859522145795e-07, 6.364890337572156e-07, 1.1996249969545626e-05, 1.1409719655765963e-07, 1.2303944618288545e-09, 7.512910279886999e-10, 1.4465683356729294e-08, 2.970496032233152e-06, 7.459677997283688e-08]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.00022669118884058483,"[0.000587986835762194, 0.0001524581852331187, 0.00044029885268549864, 0.00021322931832229135, 0.00040326161098617217, 2.5440791003448287e-07, 3.901651630529799e-09, 1.786392464216037e-08, 0.00024270972308968142]"
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0005017615913834865,[0.0005017615913834865]
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.0002484032483585153,"[2.8570528009727094e-06, 1.7333746634615841e-06, 0.0011187543600347162, 1.6246161788993213e-05, 3.2414474405700675e-05, 0.0002831911019364802, 0.0004887508740016536, 4.3278587236143984e-05]"
